Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
AMZN|20220121|1380.00C,AMZN,"1,380.00",+57.90%,"1,912.20","1,918.98","1,925.75","1,825.00",305.00,+20.07%,1,5,0.20,53.13%,Call,343,01/21/22,09/14/20,33.89%
AMZN|20220121|1400.00C,AMZN,"1,400.00",+57.29%,"1,892.80","1,899.57","1,906.35","1,937.00",-13.10,-0.67%,1,61,0.02,52.64%,Call,343,01/21/22,02/09/21,33.89%
AMZN|20220121|1420.00C,AMZN,"1,420.00",+56.68%,"1,873.40","1,880.18","1,886.95","1,703.36",-60.04,-3.40%,2,9,0.22,52.14%,Call,343,01/21/22,01/15/21,33.89%
AMZN|20220121|1440.00C,AMZN,"1,440.00",+56.07%,"1,854.05","1,860.80","1,867.55","1,795.00",505.10,+39.16%,5,5,1.00,51.66%,Call,343,01/21/22,09/10/20,33.89%
AMZN|20220121|1460.00C,AMZN,"1,460.00",+55.46%,"1,834.70","1,841.45","1,848.20","1,946.00",178.25,+10.08%,1,25,0.04,51.18%,Call,343,01/21/22,02/02/21,33.89%
AMZN|20220121|1480.00C,AMZN,"1,480.00",+54.85%,"1,815.40","1,822.15","1,828.90","1,706.00",-338.22,-16.55%,2,21,0.10,50.73%,Call,343,01/21/22,01/13/21,33.89%
AMZN|20220121|1500.00C,AMZN,"1,500.00",+54.24%,"1,796.05","1,802.82","1,809.60","1,847.16",177.89,+10.66%,81,217,0.37,50.27%,Call,343,01/21/22,02/03/21,33.89%
AMZN|20220121|1520.00C,AMZN,"1,520.00",+53.63%,"1,776.80","1,783.55","1,790.30","1,645.35",85.35,+5.47%,3,62,0.05,49.82%,Call,343,01/21/22,12/09/20,33.89%
AMZN|20220121|1540.00C,AMZN,"1,540.00",+53.02%,"1,757.55","1,764.30","1,771.05","1,784.60",-120.40,-6.32%,8,20,0.40,49.39%,Call,343,01/21/22,01/22/21,33.89%
AMZN|20220121|1560.00C,AMZN,"1,560.00",+52.41%,"1,738.30","1,745.05","1,751.80","1,582.00",172.75,+12.26%,3,21,0.14,48.95%,Call,343,01/21/22,12/10/20,33.89%
AMZN|20220121|1580.00C,AMZN,"1,580.00",+51.80%,"1,719.10","1,725.85","1,732.60","1,577.00",50.00,+3.27%,1,70,0.01,48.52%,Call,343,01/21/22,01/19/21,33.89%
AMZN|20220121|1600.00C,AMZN,"1,600.00",+51.19%,"1,699.90","1,706.65","1,713.40","1,755.32",-5.48,-0.31%,10,124,0.08,48.10%,Call,343,01/21/22,02/09/21,33.89%
AMZN|20220121|1620.00C,AMZN,"1,620.00",+50.58%,"1,680.75","1,687.50","1,694.25","1,741.80",17.03,+0.99%,1,23,0.04,47.69%,Call,343,01/21/22,02/03/21,33.89%
AMZN|20220121|1640.00C,AMZN,"1,640.00",+49.97%,"1,661.65","1,668.40","1,675.15","1,699.95",-7.01,-0.41%,2,43,0.05,47.29%,Call,343,01/21/22,01/22/21,33.89%
AMZN|20220121|1660.00C,AMZN,"1,660.00",+49.35%,"1,642.55","1,649.30","1,656.05","1,514.00",-187.97,-11.04%,1,46,0.02,46.89%,Call,343,01/21/22,01/11/21,33.89%
AMZN|20220121|1680.00C,AMZN,"1,680.00",+48.74%,"1,623.50","1,630.25","1,637.00","1,464.70",-210.30,-12.56%,1,34,0.03,46.51%,Call,343,01/21/22,01/12/21,33.89%
AMZN|20220121|1690.00C,AMZN,"1,690.00",+48.44%,"1,614.00","1,620.75","1,627.50","1,518.00",-60.75,-3.85%,1,24,0.04,46.32%,Call,343,01/21/22,10/22/20,33.89%
AMZN|20220121|1700.00C,AMZN,"1,700.00",+48.13%,"1,604.50","1,611.23","1,617.95","1,626.01",-64.49,-3.81%,1,242,0.00,46.12%,Call,343,01/21/22,02/10/21,33.89%
AMZN|20220121|1710.00C,AMZN,"1,710.00",+47.83%,"1,595.00","1,601.73","1,608.45","1,395.00",533.10,+61.85%,1,25,0.04,45.94%,Call,343,01/21/22,07/06/20,33.89%
AMZN|20220121|1720.00C,AMZN,"1,720.00",+47.52%,"1,585.50","1,592.25","1,599.00","1,610.00",115.70,+7.74%,1,38,0.03,45.75%,Call,343,01/21/22,01/22/21,33.89%
AMZN|20220121|1730.00C,AMZN,"1,730.00",+47.22%,"1,576.00","1,582.75","1,589.50","1,485.11",-312.64,-17.39%,3,34,0.09,45.56%,Call,343,01/21/22,12/16/20,33.89%
AMZN|20220121|1740.00C,AMZN,"1,740.00",+46.91%,"1,566.55","1,573.30","1,580.05","1,414.90",-114.05,-7.46%,5,56,0.09,45.39%,Call,343,01/21/22,01/12/21,33.89%
AMZN|20220121|1750.00C,AMZN,"1,750.00",+46.61%,"1,557.10","1,563.82","1,570.55","1,590.00",87.00,+5.79%,1,73,0.01,45.20%,Call,343,01/21/22,02/09/21,33.89%
AMZN|20220121|1760.00C,AMZN,"1,760.00",+46.30%,"1,547.65","1,554.40","1,561.15","1,494.91",-33.90,-2.22%,18,81,0.22,45.03%,Call,343,01/21/22,12/22/20,33.89%
AMZN|20220121|1770.00C,AMZN,"1,770.00",+46.00%,"1,538.20","1,544.95","1,551.70","1,568.50",48.82,+3.21%,1,65,0.02,44.85%,Call,343,01/21/22,02/04/21,33.89%
AMZN|20220121|1780.00C,AMZN,"1,780.00",+45.69%,"1,528.80","1,535.53","1,542.25","1,560.24",54.71,+3.63%,1,65,0.02,44.67%,Call,343,01/21/22,02/04/21,33.89%
AMZN|20220121|1790.00C,AMZN,"1,790.00",+45.39%,"1,519.40","1,526.13","1,532.85","1,544.52",48.10,+3.21%,35,41,0.85,44.50%,Call,343,01/21/22,12/28/20,33.89%
AMZN|20220121|1795.00C,AMZN,"1,795.00",+45.24%,"1,514.70","1,521.43","1,528.15","1,539.97",82.63,+5.67%,35,10,3.50,44.42%,Call,343,01/21/22,12/28/20,33.89%
AMZN|20220121|1800.00C,AMZN,"1,800.00",+45.08%,"1,510.00","1,516.73","1,523.45","1,490.00",-56.20,-3.63%,1,182,0.01,44.33%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|1805.00C,AMZN,"1,805.00",+44.93%,"1,505.30","1,512.03","1,518.75","1,485.03",81.48,+5.81%,2,63,0.03,44.25%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|1810.00C,AMZN,"1,810.00",+44.78%,"1,500.60","1,507.32","1,514.05","1,553.00",143.52,+10.18%,2,57,0.04,44.16%,Call,343,01/21/22,01/26/21,33.89%
AMZN|20220121|1815.00C,AMZN,"1,815.00",+44.63%,"1,495.90","1,502.65","1,509.40","1,543.51",113.61,+7.95%,44,29,1.52,44.08%,Call,343,01/21/22,12/29/20,33.89%
AMZN|20220121|1820.00C,AMZN,"1,820.00",+44.47%,"1,491.25","1,497.98","1,504.70","1,338.30",-200.68,-13.04%,5,65,0.08,44.00%,Call,343,01/21/22,01/15/21,33.89%
AMZN|20220121|1825.00C,AMZN,"1,825.00",+44.32%,"1,486.55","1,493.28","1,500.00","1,513.95",-19.28,-1.26%,2,19,0.11,43.92%,Call,343,01/21/22,12/30/20,33.89%
AMZN|20220121|1830.00C,AMZN,"1,830.00",+44.17%,"1,481.85","1,488.60","1,495.35","1,546.77",130.46,+9.21%,40,38,1.05,43.83%,Call,343,01/21/22,12/29/20,33.89%
AMZN|20220121|1835.00C,AMZN,"1,835.00",+44.02%,"1,477.20","1,483.93","1,490.65","1,542.24",131.69,+9.34%,15,17,0.88,43.75%,Call,343,01/21/22,12/29/20,33.89%
AMZN|20220121|1840.00C,AMZN,"1,840.00",+43.86%,"1,472.55","1,479.28","1,486.00","1,320.74",-203.00,-13.32%,1,18,0.06,43.68%,Call,343,01/21/22,01/15/21,33.89%
AMZN|20220121|1845.00C,AMZN,"1,845.00",+43.71%,"1,467.85","1,474.57","1,481.30","1,501.15",161.15,+12.03%,2,10,0.20,43.59%,Call,343,01/21/22,02/04/21,33.89%
AMZN|20220121|1850.00C,AMZN,"1,850.00",+43.56%,"1,463.20","1,469.93","1,476.65","1,521.05",-5.42,-0.36%,1,70,0.01,43.51%,Call,343,01/21/22,01/26/21,33.89%
AMZN|20220121|1855.00C,AMZN,"1,855.00",+43.41%,"1,458.55","1,465.28","1,472.00","1,499.34",10.61,+0.71%,5,22,0.23,43.44%,Call,343,01/21/22,02/04/21,33.89%
AMZN|20220121|1860.00C,AMZN,"1,860.00",+43.25%,"1,453.90","1,460.63","1,467.35","1,494.82",-75.33,-4.80%,5,35,0.14,43.36%,Call,343,01/21/22,02/04/21,33.89%
AMZN|20220121|1865.00C,AMZN,"1,865.00",+43.10%,"1,449.25","1,455.98","1,462.70","1,516.75",496.75,+48.70%,20,20,1.00,43.28%,Call,343,01/21/22,12/30/20,33.89%
AMZN|20220121|1870.00C,AMZN,"1,870.00",+42.95%,"1,444.60","1,451.32","1,458.05","1,512.19",126.10,+9.10%,20,27,0.74,43.21%,Call,343,01/21/22,12/30/20,33.89%
AMZN|20220121|1875.00C,AMZN,"1,875.00",+42.80%,"1,439.95","1,446.68","1,453.40","1,484.06",302.06,+25.55%,20,44,0.45,43.13%,Call,343,01/21/22,02/04/21,33.89%
AMZN|20220121|1880.00C,AMZN,"1,880.00",+42.64%,"1,435.30","1,442.03","1,448.75","1,479.50",129.75,+9.61%,20,97,0.21,43.05%,Call,343,01/21/22,02/04/21,33.89%
AMZN|20220121|1885.00C,AMZN,"1,885.00",+42.49%,"1,430.65","1,437.38","1,444.10","1,464.66",81.83,+5.92%,1,36,0.03,42.97%,Call,343,01/21/22,12/29/20,33.89%
AMZN|20220121|1890.00C,AMZN,"1,890.00",+42.34%,"1,426.00","1,432.73","1,439.45","1,459.99",107.74,+7.97%,1,48,0.02,42.89%,Call,343,01/21/22,12/29/20,33.89%
AMZN|20220121|1900.00C,AMZN,"1,900.00",+42.03%,"1,416.75","1,423.48","1,430.20","1,462.00",-80.20,-5.20%,1,374,0.00,42.74%,Call,343,01/21/22,02/05/21,33.89%
AMZN|20220121|1910.00C,AMZN,"1,910.00",+41.73%,"1,407.55","1,414.25","1,420.95","1,431.42",122.87,+9.39%,5,142,0.04,42.60%,Call,343,01/21/22,01/21/21,33.89%
AMZN|20220121|1920.00C,AMZN,"1,920.00",+41.42%,"1,398.30","1,405.03","1,411.75","1,376.63",-10.48,-0.76%,10,"1,801",0.01,42.46%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|1930.00C,AMZN,"1,930.00",+41.12%,"1,389.10","1,395.82","1,402.55","1,376.63",-18.61,-1.33%,1,124,0.01,42.31%,Call,343,01/21/22,01/20/21,33.89%
AMZN|20220121|1940.00C,AMZN,"1,940.00",+40.81%,"1,379.90","1,386.63","1,393.35","1,358.41",-10.32,-0.75%,10,"1,754",0.01,42.17%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|1950.00C,AMZN,"1,950.00",+40.51%,"1,370.75","1,377.45","1,384.15","1,354.00",-16.03,-1.17%,1,101,0.01,42.03%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|1960.00C,AMZN,"1,960.00",+40.20%,"1,361.60","1,368.30","1,375.00","1,267.73",-118.40,-8.54%,1,76,0.01,41.89%,Call,343,01/21/22,01/13/21,33.89%
AMZN|20220121|1970.00C,AMZN,"1,970.00",+39.90%,"1,352.45","1,359.15","1,365.85","1,205.50",-136.38,-10.16%,5,69,0.07,41.76%,Call,343,01/21/22,01/15/21,33.89%
AMZN|20220121|1980.00C,AMZN,"1,980.00",+39.59%,"1,343.35","1,350.05","1,356.75","1,197.00",-184.00,-13.32%,5,61,0.08,41.63%,Call,343,01/21/22,01/15/21,33.89%
AMZN|20220121|1990.00C,AMZN,"1,990.00",+39.29%,"1,334.25","1,340.95","1,347.65","1,273.00",-58.00,-4.36%,11,152,0.07,41.49%,Call,343,01/21/22,01/05/21,33.89%
AMZN|20220121|2000.00C,AMZN,"2,000.00",+38.98%,"1,325.15","1,331.85","1,338.55","1,308.46",-11.44,-0.87%,1,808,0.00,41.36%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|2020.00C,AMZN,"2,020.00",+38.37%,"1,307.05","1,313.75","1,320.45","1,245.09",0.49,+0.04%,1,99,0.01,41.11%,Call,343,01/21/22,12/24/20,33.89%
AMZN|20220121|2040.00C,AMZN,"2,040.00",+37.76%,"1,289.05","1,295.75","1,302.45","1,227.10",-164.73,-11.84%,100,101,0.99,40.87%,Call,343,01/21/22,11/27/20,33.89%
AMZN|20220121|2050.00C,AMZN,"2,050.00",+37.46%,"1,280.05","1,286.75","1,293.45","1,273.95",36.45,+2.95%,2,80,0.03,40.74%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|2060.00C,AMZN,"2,060.00",+37.15%,"1,271.10","1,277.80","1,284.50","1,229.00",-130.73,-9.61%,1,6,0.17,40.62%,Call,343,01/21/22,01/04/21,33.89%
AMZN|20220121|2080.00C,AMZN,"2,080.00",+36.54%,"1,253.25","1,259.95","1,266.65","1,166.05",23.52,+2.06%,2,7,0.29,40.39%,Call,343,01/21/22,01/13/21,33.89%
AMZN|20220121|2100.00C,AMZN,"2,100.00",+35.93%,"1,235.50","1,242.20","1,248.90","1,218.00",-23.95,-1.93%,2,398,0.01,40.17%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|2120.00C,AMZN,"2,120.00",+35.32%,"1,217.85","1,224.55","1,231.25","1,271.65",-26.85,-2.07%,1,16,0.06,39.95%,Call,343,01/21/22,02/03/21,33.89%
AMZN|20220121|2140.00C,AMZN,"2,140.00",+34.71%,"1,200.30","1,206.98","1,213.65","1,055.68",-8.96,-0.84%,1,2,0.50,39.74%,Call,343,01/21/22,01/15/21,33.89%
AMZN|20220121|2150.00C,AMZN,"2,150.00",+34.41%,"1,191.60","1,198.25","1,204.90","1,179.73",97.66,+9.03%,1,150,0.01,39.64%,Call,343,01/21/22,01/28/21,33.89%
AMZN|20220121|2160.00C,AMZN,"2,160.00",+34.10%,"1,182.85","1,189.53","1,196.20","1,170.45",46.32,+4.12%,1,31,0.03,39.54%,Call,343,01/21/22,02/11/21,33.89%
AMZN|20220121|2180.00C,AMZN,"2,180.00",+33.49%,"1,165.50","1,172.18","1,178.85","1,034.11",-117.98,-10.24%,2,14,0.14,39.35%,Call,343,01/21/22,01/11/21,33.89%
AMZN|20220121|2200.00C,AMZN,"2,200.00",+32.88%,"1,148.30","1,154.95","1,161.60","1,147.10",10.00,+0.88%,2,540,0.00,39.16%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|2220.00C,AMZN,"2,220.00",+32.27%,"1,131.15","1,137.80","1,144.45","1,166.51",-12.22,-1.04%,1,17,0.06,38.98%,Call,343,01/21/22,02/09/21,33.89%
AMZN|20220121|2240.00C,AMZN,"2,240.00",+31.66%,"1,114.10","1,120.75","1,127.40","1,120.09",-29.41,-2.56%,1,27,0.04,38.80%,Call,343,01/21/22,02/10/21,33.89%
AMZN|20220121|2250.00C,AMZN,"2,250.00",+31.35%,"1,105.65","1,112.30","1,118.95","1,093.02",-18.63,-1.68%,1,98,0.01,38.71%,Call,343,01/21/22,02/11/21,33.89%
AMZN|20220121|2260.00C,AMZN,"2,260.00",+31.05%,"1,097.20","1,103.85","1,110.50","1,084.67",-0.08,-0.01%,1,34,0.03,38.63%,Call,343,01/21/22,02/11/21,33.89%
AMZN|20220121|2280.00C,AMZN,"2,280.00",+30.44%,"1,083.60","1,086.65","1,089.70","1,086.40",-133.72,-10.96%,14,27,0.52,38.36%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|2300.00C,AMZN,"2,300.00",+29.83%,"1,066.70","1,069.68","1,072.65","1,078.04",-20.86,-1.90%,9,422,0.02,38.20%,Call,343,01/21/22,02/10/21,33.89%
AMZN|20220121|2320.00C,AMZN,"2,320.00",+29.22%,"1,050.35","1,053.38","1,056.40","1,183.50",91.70,+8.40%,1,40,0.03,38.08%,Call,343,01/21/22,02/02/21,33.89%
AMZN|20220121|2340.00C,AMZN,"2,340.00",+28.61%,"1,033.70","1,036.65","1,039.60","1,078.76",124.76,+13.08%,1,44,0.02,37.89%,Call,343,01/21/22,02/09/21,33.89%
AMZN|20220121|2360.00C,AMZN,"2,360.00",+28.00%,"1,017.60","1,020.63","1,023.65","1,122.98",61.48,+5.79%,1,50,0.02,37.79%,Call,343,01/21/22,02/03/21,33.89%
AMZN|20220121|2380.00C,AMZN,"2,380.00",+27.39%,"1,001.20","1,004.28","1,007.35","1,106.00",65.91,+6.34%,1,40,0.03,37.63%,Call,343,01/21/22,02/03/21,33.89%
AMZN|20220121|2400.00C,AMZN,"2,400.00",+26.78%,985.30,988.15,991.00,971.00,-29.00,-2.90%,1,501,0.00,37.48%,Call,343,01/21/22,02/12/21,33.89%
AMZN|20220121|2420.00C,AMZN,"2,420.00",+26.17%,969.25,972.30,975.35,"1,048.50",-41.60,-3.82%,1,133,0.01,37.36%,Call,343,01/21/22,02/03/21,33.89%
AMZN|20220121|2440.00C,AMZN,"2,440.00",+25.56%,953.50,956.53,959.55,994.41,-10.59,-1.05%,1,77,0.01,37.24%,Call,343,01/21/22,02/04/21,33.89%
AMZN|20220121|2460.00C,AMZN,"2,460.00",+24.95%,938.05,941.03,944.00,"1,065.45",111.59,+11.70%,3,146,0.02,37.13%,Call,343,01/21/22,02/03/21,33.89%
AMZN|20220121|2480.00C,AMZN,"2,480.00",+24.34%,922.50,925.30,928.10,938.78,33.78,+3.73%,2,35,0.06,36.99%,Call,343,01/21/22,01/25/21,33.89%
AMZN|20220121|2500.00C,AMZN,"2,500.00",+23.73%,907.25,909.98,912.70,920.18,-16.82,-1.80%,4,"1,136",0.00,36.88%,Call,343,01/21/22,02/10/21,33.89%
AMZN|20220121|2520.00C,AMZN,"2,520.00",+23.12%,891.85,894.68,897.50,940.00,8.23,+0.88%,1,97,0.01,36.76%,Call,343,01/21/22,02/05/21,33.89%
AMZN|20220121|2540.00C,AMZN,"2,540.00",+22.51%,876.85,879.78,882.70,795.40,-9.92,-1.23%,3,65,0.05,36.67%,Call,343,01/21/22,11/30/20,33.89%
AMZN|20220121|2560.00C,AMZN,"2,560.00",+21.90%,861.95,864.85,867.75,904.26,111.79,+14.11%,2,15,0.13,36.57%,Call,343,01/21/22,02/05/21,33.89%
AMZN|20220121|2580.00C,AMZN,"2,580.00",+21.29%,847.25,850.15,853.05,963.50,88.60,+10.13%,1,46,0.02,36.48%,Call,343,01/21/22,02/02/21,33.89%
AMZN|20220121|2600.00C,AMZN,"2,600.00",+20.68%,832.75,835.60,838.45,836.57,-9.34,-1.10%,1,394,0.00,36.39%,Call,343,01/21/22,02/11/21,33.89%
AMZN|20220121|2620.00C,AMZN,"2,620.00",+20.07%,818.35,821.08,823.80,695.80,-56.05,-7.45%,1,53,0.02,36.29%,Call,343,01/21/22,11/02/20,33.89%
AMZN|20220121|2640.00C,AMZN,"2,640.00",+19.46%,804.35,806.95,809.55,870.00,-68.43,-7.29%,1,41,0.02,36.22%,Call,343,01/21/22,12/29/20,33.89%
AMZN|20220121|2650.00C,AMZN,"2,650.00",+19.15%,797.20,799.95,802.70,930.00,108.30,+13.18%,1,13,0.08,36.19%,Call,343,01/21/22,02/02/21,33.89%
AMZN|20220121|2660.00C,AMZN,"2,660.00",+18.85%,790.10,792.90,795.70,841.90,-3.10,-0.37%,2,132,0.02,36.14%,Call,343,01/21/22,02/09/21,33.89%
AMZN|20220121|2680.00C,AMZN,"2,680.00",+18.24%,776.20,778.95,781.70,762.20,-34.60,-4.34%,3,97,0.03,36.06%,Call,343,01/21/22,02/11/21,33.89%
AMZN|20220121|2700.00C,AMZN,"2,700.00",+17.63%,762.60,765.25,767.90,765.93,-16.42,-2.10%,2,402,0.00,36.00%,Call,343,01/21/22,02/11/21,33.89%
AMZN|20220121|2720.00C,AMZN,"2,720.00",+17.02%,748.85,751.58,754.30,649.00,-34.50,-5.05%,1,34,0.03,35.92%,Call,343,01/21/22,01/19/21,33.89%
AMZN|20220121|2740.00C,AMZN,"2,740.00",+16.41%,735.45,738.13,740.80,774.36,-57.84,-6.95%,1,35,0.03,35.85%,Call,343,01/21/22,02/04/21,33.89%
AMZN|20220121|2760.00C,AMZN,"2,760.00",+15.79%,722.20,724.83,727.45,782.03,160.65,+25.85%,3,45,0.07,35.78%,Call,343,01/21/22,02/05/21,33.89%
AMZN|20220121|2780.00C,AMZN,"2,780.00",+15.18%,709.10,712.10,715.10,681.07,69.32,+11.33%,1,34,0.03,35.75%,Call,343,01/21/22,01/20/21,33.89%
AMZN|20220121|2800.00C,AMZN,"2,800.00",+14.57%,696.10,699.08,702.05,681.00,-5.35,-0.78%,4,554,0.01,35.68%,Call,343,01/21/22,02/12/21,33.89%
